Added to the Index			Dropped from the Index													
Company	Ticker	Old Name & Ticker	Company	Ticker	Old Name & Ticker	Date	Year									
Coach Inc.	COH		Charter One Financial	CF (C. O.)		August 31, 2004	2004									
Fisher Scientific	FSH		Thomas & Betts	TNB		August 2, 2004	2004									
Gilead Sciences	GILD		Bank One Corp.	ONE		June 30, 2004	2004									
Sovereign Bancorp.	SOV		Union Planters Corp.	UPC		June 30, 2004	2004									
Hospira Inc.	HSP		American Greetings	AM		April 30, 2004	2004									
Valero Energy	VLO		John Hancock Financial	JHF		April 28, 2004	2004									
Mylan Inc.	MYL		MetroPCS	PCS		April 22, 2004	2004									
ACS Inc.	ACS		Travelers Property Casualty	TAP.B		April 1, 2004	2004									
E*Trade Financial Corp.	ETFC	E*Trade Financial Corp. (ET)	FleetBoston Financial	FBF		March 31, 2004	2004									
Caremark Rx Inc.	CMX		Tupperware Corp.	TUP		March 24, 2004	2004									
M&T Bank Corp.	MTB		Concord EFS Inc.	CE		February 26, 2004	2004									
Biogen Idec, Inc.	BIIB		Biogen Inc.	BGEN		November 12, 2003	2003									
Express Scripts	ESRX		Quintiles Transnational	QTRN		September 25, 2003	2003									
Medco Health Solutions	MHS		McDermott Int'l	MDR		August 19, 2003	2003									
Prologis	PLD		Mirant Corp	MIR		July 16, 2003	2003									
Federated Investors	FII		Pharmacia Corp.	PHA		April 15, 2003	2003									
Symantec Corp.	SYMC		Household Int'l	HI		March 28, 2003	2003									
McCormick & Co.	MKC		HealthSouth Corp.	HRC		March 20, 2003	2003									
Aimco	AIV		AMR Corp.	AMR		March 13, 2003	2003									
AutoNation Inc.	AN		Rational Software	RATL		February 21, 2003	2003									
Quest Diagnostics	DGX		TRW Inc.	TRW		December 11, 2002	2002									
Comcast Class A Comm.	CMCSA		Comcast Class A Spec.	CMCSK		November 18, 2002	2002									
Reynolds American Inc.	RAI	RJ Reynolds Tobacco (RJR)	-	-		September 3, 2002	2002									
-	-		Conoco Inc.	COC		August 30, 2002	2002									
Travelers Property Casualty	TAP.B		Vitesse Semiconductor	VTSS		August 20, 2002	2002									
Monsanto Co.	MON		Palm Inc.	PALM		August 13, 2002	2002									
Anthem Inc.	ANTM	Anthem Inc. (ATH)	Conseco Inc.	CNC		July 24, 2002	2002									
Electronic Arts	EA	Electronic Arts (ERTS)	Placer Dome Inc.	PDG		July 19, 2002	2002									
United Parcel Service	UPS		Royal Dutch Petroleum	RD		July 19, 2002	2002									
Goldman Sachs Group	GS		Unilevr N.V.	UN		July 19, 2002	2002									
Prudential Financial	PRU		Nortel Networks	NT		July 19, 2002	2002									
eBay Inc.	EBAY		Alcan Inc.	AL		July 19, 2002	2002									
Principal Financial Group	PFG		Barrick Gold Corp.	ABX		July 19, 2002	2002									
SunGard Data Systems	SDS		Inco Ltd.	N		July 19, 2002	2002									
North Fork Bancorp. Inc.	NFB		Immunex Corp.	IMNX		July 16, 2002	2002									
Simon Property Group Inc.	SPG		Conexant Systems	CNXT		June 25, 2002	2002									
BJ Services Co.	BJS		USAirways Group Inc.	U		May 14, 2002	2002									
Apollo Group Inc.	APOL		WorldCom	WCOM		May 14, 2002	2002									
Trane Inc.	TT	American Standard (ASD)	Sapient Corp.	SAPE		May 10, 2002	2002									
First Horizon	FHN	First Tennessee National (FTN)	COMPAQ Computer	CPQ		May 3, 2002	2002									
Marshall & Iisley Corp.	MI		Willamette Industries	WLL		February 8, 2002	2002									
Rational Software	RATL		Niagara Mohawk Hldgs. Inc.	NMK		January 31, 2002	2002									
MeadWestvaco Corp.	MWV		Mead Corp.	MEA		January 29, 2002	2002									
ACE Limited	ACE		Westvaco Corp.	W		January 29, 2002	2002									
Plum Creek Timber Co.	PCL		Kmart	KM		January 16, 2002	2002									
Waters Corp.	WAT		FMC Corporation	FMC		December 31, 2001	2001									
Jones Apparel Group Inc.	JNY		Homestake Mining	HM		December 14, 2001	2001									
Genzyme Corp.	GENZ		-	-		December 13, 2001	2001									
-	-		Ralston Purina Co.	RAL		December 12, 2001	2001									
Equity Residential	EQR		National Service Ind.	NSI		November 30, 2001	2001									
Nvidia Corp.	NVDA		Enron Corp.	ENE		November 29, 2001	2001									
Health Management Assoc.	HMA		GPU Inc.	GPU		November 6, 2001	2001									
TECO Energy	TE		Global Crossing Ltd.	GX		October 9, 2001	2001									
Equity Office Properties	EOP		Texaco Inc.	TX		October 9, 2001	2001									
Immunex Corp.	IMNX		-	-		September 20, 2001	2001									
-	-		Tosco Corp.	TOS		September 17, 2001	2001									
XL Capital	XL		First Union	FTU	Wachovia Corp. (WB)	August 31, 2001	2001									
International Game Tech.	IGT		BroadVision Inc.	BVSN		August 31, 2001	2001									
Ciena Corp.	CIEN		American General	AGC		August 29, 2001	2001									
AmerisourceBergen Corp.	ABC		ONEOK, Inc.	OKE		August 29, 2001	2001									
Zimmer Holdings	ZMH		Timken Co.	TKR		August 6, 2001	2001									
Family Dollar Stores	FDO		Cabletron Systems	CS		August 3, 2001	2001									
PMC-Sierra	PMCS		Quaker Oats	OAT		August 2, 2001	2001									
AT&T Wireless	AWE		Potlatch Corp.	PCH		July 6, 2001	2001									
Rockwell Collins	COL		Longs Drug Stores	LDG		June 29, 2001	2001									
John Hancock Financial	JHF		Harcourt General Inc.	H		June 27, 2001	2001									
Zions Bancorp	ZION		ALZA Corp.	AZA		June 22, 2001	2001									
Monster Worldwide Inc.	MWW	TMP Worldwide (TMPW)	CIT Group Inc.	CIT		June 1, 2001	2001									
Pepsi Bottling Group Inc.	PBG		Adaptec Inc.	ADPT		May 11, 2001	2001									
Mirant Corp	MIR		Briggs & Stratton	BGG		April 2, 2001	2001									
Concord EFS Inc.	CE	Concord EFS Inc. (CEFT)	Ceridian Corp.	CEN		March 30, 2001	2001									
Fiserv Inc	FISV		Old Kent Financial	OK		March 30, 2001	2001									
Cintas Corp.	CTAS		Summit Bancorp	SUB		February 28, 2001	2001									
Frontier Communications	FTR	Citizens Communications (CZN)	Firstar Corporation	FSR	U.S. Bancorp (USB)	February 26, 2001	2001									
Univision Communications	UVN		Union Carbide	UK		February 6, 2001	2001									
Jabil Circuit	JBL		Coastal Corp.	CGP		January 29, 2001	2001									
Noble Corp.	NE		American Online	AOL	Time Warner Inc. (TWX)	January 12, 2001	2001									
Applied Micro Circuits Corp.	AMCC		Chase Manhattan	CMB	Morgan (J.P.) & Co. (JPM)	December 29, 2000	2000									
Fluor Corp.	FLR		Massey Energy Co.	MEE		December 21, 2000	2000									
Vitesse Semiconductor	VTSS		Springs Industries Inc.	SMI		December 11, 2000	2000									
Stryker Corp.	SYK		Russell Corp.	RML		December 11, 2000	2000									
QLogic Corp.	QLGC		Polaroid Corp.	PRD		December 11, 2000	2000									
Kinder Morgan	KMI		Nabisco Group Hldgs.	NGH		December 11, 2000	2000									
Allegheny Energy Inc.	AYE		Bethlehem Steel	BS		December 8, 2000	2000									
Ambac Financial Group Inc.	ABK		Crown Cork & Seal	CCK		December 8, 2000	2000									
