Ticker	Company	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
BC	Brunswick Corp.								X	X	X	X	X	X	X	X	X
BCR	C. R. Bard, Inc	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BDK	Black & Decker						X	X	X	X	X	X	X	X	X	X	X
BDX	Becton Dickinson	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BEAM	Beam Inc.		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BEN	Franklin Resources	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BF.B	Brown-Forman Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BFO	BestFoods																X
BGEN	Biogen Inc.													X	X	X	
BGG	Briggs & Stratton															X	X
BHI	Baker Hughes Inc	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BIG	Big Lots Inc.			X	X	X	X	X	X	X	X	X	X	X	X	X	X
BIIB	Biogen Idec, Inc.	X	X	X	X	X	X	X	X	X	X	X	X				
BJS	BJ Services Co.						X	X	X	X	X	X	X	X			
BK	BNY Mellon	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BLK	BlackRock	X	X	X	X												
BLL	Ball Corp	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BLS	BellSouth Corp.									X	X	X	X	X	X	X	X
BMC	BMC Software			X	X	X	X	X	X	X	X	X	X	X	X	X	X
BMET	Biomet Inc.									X	X	X	X	X	X	X	X
BMS	Bemis		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BMY	Bristol-Myers Squibb	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BNI	Burlington Northern						X	X	X	X	X	X	X	X	X	X	X
BOL	Bausch & Lomb Inc.									X	X	X	X	X	X	X	X
BR	Burlington Resources Inc.										X	X	X	X	X	X	X
BRCM	Broadcom Corp.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
BRK.B	Berkshire Hathaway	X	X	X	X	X											
BRL	Barr Pharmaceuticals Inc.								X	X							
BS	Bethlehem Steel																X
BSC	Bear Stearns Inc.								X	X	X	X	X	X	X	X	X
BSX	Boston Scientific	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
BTU	Peabody Energy		X	X	X	X	X	X	X	X							
BUD	Anheuser-Busch								X	X	X	X	X	X	X	X	X
BVSN	BroadVision Inc.															X	
BWA	BorgWarner	X	X	X	X												
BXP	Boston Properties	X	X	X	X	X	X	X	X	X							
C	Citigroup Inc.	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
